An SABS approved number plates(s) shall be affixed to a vehicle . . .,In such a manner that the whole number plate has a dark background.,In such a manner that it is easily detachable.,In an upright position or within 30 degrees of such position.,In an upright position or within 30 degrees of such position.,Rule,0,1
Which of the following vehicles are not allowed on a freeway (1) Vehicle drawn by an animal. (2) Pedal Cycle. (3) A Tractor,(1);(2) are correct.,(1) only is correct.,All of the above.,All of the above.,Rule,0,2
What should you do when you come across this road marking?,Look out for pedestrians that may cross the road; slow down and stop if someone wants to cross the road.,You only have to stop if there is more than one person waiting.,At this type of pedestrian crossing you do not need to stop.,Look out for pedestrians that may cross the road; slow down and stop if someone wants to cross the road.,Sign,25,3
When can you use your emergency warning triangle?,When your vehicle has broken down.,When parked outside a friends house on the wrong side of the road; facing oncoming traffic.,when you want to stop for a lunch break next to the road.,When your vehicle has broken down.,Rule,0,4
To turn a sharp curve on the road; you must use . . .,1;3;5 and 7,1;4;6;8;9 and 10 only,2;6;8 and 9,1;4;6;8;9 and 10 only,Control,200,5
This road sign informs you of an . . . Ahead,Arrestor bed.,Old gas station.,Oil station.,Arrestor bed.,Sign,29,6
How should you react when you come across this road marking on the roadway.,Give right of way to other traffic.,Look out for pedestrians.,Follow the correct route in the intersection.,Follow the correct route in the intersection.,Sign,30,7
What are the rules regarding a vehicle hooter?,You may use your hooter for safety reasons and it must be audible from 90 metres away.,You may use the hooter to get attention from Pedestrians.,You may use the hooter for other drivers on the road.,You may use your hooter for safety reasons and it must be audible from 90 metres away.,Rule,0,8
A driver/rider of a vehicle may not enter/cross a public road if . . . ? ?,There is obstruction and moving traffic.,The vehicle can cross the road without obstructing or endangering any traffic.,The road is clear of moving traffic.,There is obstruction and moving traffic.,Rule,0,9
The . . . ? is the control you would use to check the right-hand rear-side of your vehicle?,5,3,10,3,Control,200,10
A cellular; mobile telephone or any other communication device should . . . ? while driving,Be handled with both hands,Be handled with one hand.,Not be handled with either hands or any other part of the body.,Not be handled with either hands or any other part of the body.,Rule,0,11
