When you lane change you should make sure that . . . ,You change lanes whenever you feel like.,You do some hand signals to other road users before changing lanes.,You shall not change from one lane into another unless you can do so without obstructing or endangering other traffic.,You shall not change from one lane into another unless you can do so without obstructing or endangering other traffic.,Rule,0,1
Which way should you sit when riding a motorcycle on a public road.,Sidesaddle.,Astride on the saddle.,Backward on the saddle.,Astride on the saddle.,Rule,0,2
This road sign warns you of what?,A drifting allowed on the road ahead.,Fuel dumped on the road ahead.,Slippery road ahead.,Slippery road ahead.,Sign,11,3
Which motorcycle engine capacity may be attached with a sidecar.,Less than 250cc.,More than 125cc.,More than 50cc.,More than 50cc.,Rule,0,4
Which Combination of controls are used to change gears?,1 and 2,2 and 9,4 and 7,1 and 2,Control,100,5
What does this flag signal indicate?,Vehicles turning to the right may proceed.,Slow down and stop before reaching the flagman.,Potential hazard ahead. Proceed slowly and be alert.,Potential hazard ahead. Proceed slowly and be alert.,Sign,27,6
The road marking RTM1 in sketch 4 tells drivers what:,If you are in vehicle B; you can street race vehicle A to the stop line.,If you are in vehicle B; you may not slow down with vehicle A; and overtaking is the priority.,If you are in vehicle A; you should stop before the line indicated in the sketch at RTM1.,If you are in vehicle A; you should stop before the line indicated in the sketch at RTM1.,Sign,28,7
The load carried by a motorcycle should never project more than . . . to the rear of the axle of the rear wheel.,400 millimetres.,200 millimetres.,900 millimetres.,900 millimetres.,Rule,0,8
When riding any motorcycle on a public road you shall not …. . . ,Carry an adult persons in a sidecar attached to a motorcycle.,Carry any person or animal or object in front of him/her.,Have less than two hands on the handlebars of such motorcycle at all times.,Carry any person or animal or object in front of him/her.,Rule,0,9
. . . is used to accelerate?,1,5,8,5,Control,100,10
A Motorcycle should never carry a load that projects more than . . . to the front of the axle of the front wheel,100 millimetres.,600 millimetres.,800 millimetres.,600 millimetres.,Rule,0,11
This road sign warns you of what?,A two-way traffic crossroad ahead.,A two-way traffic ahead.,A traffic circle ahead.,A two-way traffic crossroad ahead.,Sign,23,12
What should be your reaction when you approach this road marking?,Drive in the centre of your demarcated lane.,Slow down and release your brake before driving over the speed hump.,Be on the lookout for approaching vehicles.,Slow down and release your brake before driving over the speed hump.,Sign,24,13
Does this road making have the same purpose as a stop sign?,TRUE,FALSE,Neither,TRUE,Sign,15,14
No person driving a vehicle on public road shall . . .,Change lanes without obstructing or endangering other traffic.,Cause or allow the engine thereof to run while the motor vehicle is stationary and unattended.,Give out hand signals for a reason beyond his or her control.,Cause or allow the engine thereof to run while the motor vehicle is stationary and unattended.,Rule,0,15
You may only use a motorcycle with a sidecar if . . . ,It has yellow reflector.,The sidecar is attached to the left.,The sidecar is attached to the right.,The sidecar is attached to the left.,Rule,0,16
What should you do when you come across this road marking?,Look out for pedestrians that may cross the road; slow down and stop if someone wants to cross the road.,You only have to stop if there is more than one person waiting.,At this type of pedestrian crossing you do not need to stop.,Look out for pedestrians that may cross the road; slow down and stop if someone wants to cross the road.,Sign,25,17
